Disease,Doctor
Cystitis,Prof. Dr. Aisha Binte Yusof
Vulvodynia,Assoc. Prof. Dr. Ingrid Solberg-Hansen
Nose Disorder,Dr. Rajesh Krishnamurthy
Complex Regional Pain Syndrome,Prof. Dr. Dmitri Volkov
Spondylosis,Assoc. Prof. Dr. Hiroshi Tanaka
Hypoglycemia,Prof. Dr. Amara Osei-Bonsu
Esophagitis,Dr. Carlos Eduardo Restrepo
Vaginal Cyst,Prof. Dr. Fatima Al-Rashidi
Conjunctivitis due to Allergy,Assoc. Prof. Dr. Chen Wei
Peripheral Nerve Disorder,Prof. Dr. Oluwaseun Adeyemi
Diverticulitis,Dr. Giovanni Marchetti
Gastrointestinal Hemorrhage,Prof. Dr. Mehmet Yldrin
Acute Bronchitis,Assoc. Prof. Dr. Priya Nambiar
Infectious Gastroenteritis,Prof. Dr. Kwame Asante
Spontaneous Abortion,Dr. Valentina Sorokina
Sprain or Strain,Assoc. Prof. Dr. Diego Hernández
Pneumonia,Prof. Dr. Sunita Patel
Fungal Infection of the Hair,Dr. Amina Ouedraogo
Gout,Prof. Dr. Lars Eriksson
Marijuana Abuse,Assoc. Prof. Dr. Samuel Okafor
Arthritis of the Hip,Prof. Dr. Yuki Nakamura
Strep Throat,Dr. Elif Şahin
Liver Disease,Prof. Dr. Zhang Wei
Injury to the Arm,Assoc. Prof. Dr. Tariq Al-Farsi
Bursitis,Prof. Dr. Anastasia Papadopoulos
Acute Pancreatitis,Dr. Sipho Dlamini
Eczema,Prof. Dr. Nadia Kowalczyk
Spinal Stenosis,Assoc. Prof. Dr. Arjun Venkataraman
Injury to the Leg,Prof. Dr. Isabela Carvalho
Benign Prostatic Hyperplasia (BPH),Prof. Dr. Abdul Rahman Al-Hashimi
